#{"t_start": 1702839456.6788507, "env_id": "None"}
r,l,t
1.087643,100,5127.042173
0.209727,49,5129.495755
0.723501,100,5133.831249
0.196136,44,5136.379777
0.97958,97,5140.549367
1.265398,232,5149.530177
1.37899,118,5154.429347
0.040808,40,5156.533131
1.467324,169,5163.226262
1.596087,146,5169.116859
0.499944,79,5172.62783
3.954542,246,5182.05838
3.079525,184,5189.337173
1.744541,148,5195.299728
1.425086,110,5199.895072
2.151535,134,5205.386899
1.32242,192,5212.900557
2.995,196,5220.570124
0.587879,65,5223.557398
3.818016,337,5236.334015
2.441177,153,5242.677349
1.302882,94,5246.819955
7.684723,496,5265.263296
1.464645,163,5271.750548
1.982109,247,5281.228071
3.956181,293,5292.323659
2.871195,288,5303.302314
2.651415,273,5313.751276
2.320199,163,5320.308486
4.94305,366,5334.087523
2.532423,325,5346.814169
1.977906,314,5358.726285
1.858434,211,5366.958528
1.038562,107,5371.503909
1.871684,201,5379.382357
3.745013,368,5393.231353
2.926062,251,5402.871783
4.218371,320,5414.994801
3.012701,416,5430.602781
6.518997,809,5460.225662
8.183904,542,5480.387011
7.155662,496,5498.867332
2.305362,172,5505.788332
5.086063,308,5517.504561
15.214238,893,5550.151695
2.212126,195,5557.855243
11.301432,702,5583.673323
1.315221,104,5588.101764
1.763809,1001,5624.803554
0.470525,895,5657.646574
1.427471,1001,5694.333374
0.309145,151,5700.462831
1.985149,300,5711.85125
0.059619,1001,5748.928823
0.426283,1001,5785.592636
13.650297,1001,5822.352392
14.540735,1001,5859.164119
12.774689,1001,5895.79595
4.543588,293,5906.988482
16.321691,1001,5943.627309
16.457108,1001,5980.318106
19.073422,1001,6016.982917
18.830232,1001,6053.928567
7.059417,424,6069.82638
15.314599,819,6100.21182
19.227746,1001,6136.993565
8.997917,489,6155.470886
5.921907,329,6168.04462
17.254577,1001,6204.728421
4.714475,272,6215.223357
15.298759,803,6244.85823
4.803765,272,6255.322184
18.322902,1001,6292.079942
17.401744,1001,6328.858688
18.397634,1001,6366.132148
19.242481,1001,6403.100784
10.670207,568,6424.304531
14.910836,775,6453.007943
6.877859,374,6467.25471
4.681001,265,6477.509784
17.786962,1001,6514.387473
6.92914,373,6528.569277
6.257218,340,6541.553774
7.807928,422,6557.487566
9.826457,513,6576.741439
4.387286,239,6586.536779
8.212293,432,6610.344021
7.828261,412,6635.300598
11.63434,618,6666.897339
19.59027,1001,6714.65574
18.847943,1001,6753.380385
19.193492,1001,6792.42682
19.617403,1001,6835.894701
19.528257,1001,6876.932985
19.352493,1001,6914.305388
19.551508,1001,6953.453764
19.474089,1001,6998.985452
19.554698,1001,7038.078861
19.356099,1001,7075.195411
19.47159,1001,7112.336948
19.137154,1001,7149.297589
19.146216,1001,7186.32619
18.810962,1001,7223.486716
19.370271,1001,7260.609263
19.428679,1001,7297.630868
19.086035,1001,7334.752416
2.248142,133,7340.26523
19.475269,1001,7377.332809
6.674714,354,7390.831009
19.549799,1001,7427.851615
19.682408,1001,7464.867224
19.658927,1001,7502.001764
19.692226,1001,7539.319199
19.687993,1001,7576.475727
19.688409,1001,7613.773173
19.586444,1001,7651.221532
19.688357,1001,7688.349076
19.732037,1001,7725.49461
19.651899,1001,7762.546198
10.294066,540,7782.912429
19.652277,1001,7820.027981
19.70055,1001,7857.224485
19.712963,1001,7894.357026
19.641009,1001,7931.7804
19.70397,1001,7968.950919
19.679132,1001,8006.046483
19.723801,1001,8043.228995
19.699506,1001,8080.375528
19.680676,1001,8117.540051
19.555776,1001,8156.622466
19.646297,1001,8194.025851
